sample_id,source_file,case_id,group_name,intent_class,method,target,payload_or_query,interpretation,attack_family,expected_code,expected_meaning,observed_off,observed_on,response_code_transition,current_assessment
1,board-search-fp-mixed-100.csv,board_search_001,Board Search Mixed,normal,GET,/api/board/posts,?keyword=wifi&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
2,board-search-fp-mixed-100.csv,board_search_002,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
3,board-search-fp-mixed-100.csv,board_search_003,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
4,board-search-fp-mixed-100.csv,board_search_004,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
5,board-search-fp-mixed-100.csv,board_search_005,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EA%B8%B0%EC%88%99%EC%82%AC&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
6,board-search-fp-mixed-100.csv,board_search_006,Board Search Mixed,normal,GET,/api/board/posts,?keyword=%EC%85%94%ED%8B%80%EB%B2%84%EC%8A%A4&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
7,board-search-fp-mixed-100.csv,board_search_007,Board Search Mixed,normal,GET,/api/board/posts,?keyword=cafeteria&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
8,board-search-fp-mixed-100.csv,board_search_008,Board Search Mixed,normal,GET,/api/board/posts,?keyword=parking&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
9,board-search-fp-mixed-100.csv,board_search_009,Board Search Mixed,normal,GET,/api/board/posts,?keyword=exam&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
10,board-search-fp-mixed-100.csv,board_search_010,Board Search Mixed,normal,GET,/api/board/posts,?keyword=assignment&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
11,board-search-fp-mixed-100.csv,board_search_011,Board Search Mixed,normal,GET,/api/board/posts,?keyword=course%20registration&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
12,board-search-fp-mixed-100.csv,board_search_012,Board Search Mixed,normal,GET,/api/board/posts,?keyword=lecture%20room&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
13,board-search-fp-mixed-100.csv,board_search_013,Board Search Mixed,normal,GET,/api/board/posts,?keyword=volunteer&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,normal_business_request,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
14,board-search-fp-mixed-100.csv,board_search_014,Board Search Mixed,normal,GET,/api/board/posts,?keyword=club%20fair&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
15,board-search-fp-mixed-100.csv,board_search_015,Board Search Mixed,normal,GET,/api/board/posts,?keyword=academic%20event&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
16,board-search-fp-mixed-100.csv,board_search_016,Board Search Mixed,normal,GET,/api/board/posts,?keyword=network%20maintenance&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
17,board-search-fp-mixed-100.csv,board_search_017,Board Search Mixed,normal,GET,/api/board/posts,?keyword=dorm%20wifi&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
18,board-search-fp-mixed-100.csv,board_search_018,Board Search Mixed,normal,GET,/api/board/posts,?keyword=team%20project&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
19,board-search-fp-mixed-100.csv,board_search_019,Board Search Mixed,normal,GET,/api/board/posts,?keyword=scholarship%20notice&sort=latest&page=0&size=5,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
20,board-search-fp-mixed-100.csv,board_search_020,Board Search Mixed,normal,GET,/api/board/posts,?keyword=database%20class&sort=title&page=1&size=6,게시판 검색 기능을 정상적으로 사용하는 조회 요청이다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
21,board-search-fp-mixed-100.csv,board_search_021,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&page=0&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
22,board-search-fp-mixed-100.csv,board_search_022,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,sqli,200,authenticated_board_search_should_return_results_or_empty,403,400,403 -> 400,partial_change_needs_review
23,board-search-fp-mixed-100.csv,board_search_023,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
24,board-search-fp-mixed-100.csv,board_search_024,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,path_traversal,200,authenticated_board_search_should_return_results_or_empty,403,200,403 -> 200,resolved_after_tuning
25,board-search-fp-mixed-100.csv,board_search_025,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&sort=latest&page=0&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,sqli,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
26,board-search-fp-mixed-100.csv,board_search_026,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=cmd.exe%20%2Fc%20whoami%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,command_injection,200,authenticated_board_search_should_return_results_or_empty,400,400,400 -> 400,needs_review
27,board-search-fp-mixed-100.csv,board_search_027,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=whoami%20%EB%AA%85%EB%A0%B9%20%EA%B2%B0%EA%B3%BC&sort=latest&page=0&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,command_injection,200,authenticated_board_search_should_return_results_or_empty,403,200,403 -> 200,resolved_after_tuning
28,board-search-fp-mixed-100.csv,board_search_028,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=nmap%20-sS%20%EB%A1%9C%EA%B7%B8&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,403,200,403 -> 200,resolved_after_tuning
29,board-search-fp-mixed-100.csv,board_search_029,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=alert%20tcp%20%EB%A3%B0&sort=latest&page=0&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,route_typo,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
30,board-search-fp-mixed-100.csv,board_search_030,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,xss,200,authenticated_board_search_should_return_results_or_empty,403,200,403 -> 200,resolved_after_tuning
31,board-search-fp-mixed-100.csv,board_search_031,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=..%2F..%2Fuploads%20%EC%83%98%ED%94%8C&sort=latest&page=0&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,path_traversal,200,authenticated_board_search_should_return_results_or_empty,403,403,403 -> 403,needs_policy_review
32,board-search-fp-mixed-100.csv,board_search_032,Board Search Mixed,ambiguous,GET,/api/board/posts,?keyword=execve%20%EA%B0%90%EC%82%AC%20%EB%A1%9C%EA%B7%B8&sort=title&page=1&size=5,게시판 검색에서 보안 용어나 경로 문자열을 문맥적으로 조회하는 요청이다. 실제 공격이 아니라 교육·분석 목적의 검색으로 해석한다.,command_injection,200,authenticated_board_search_should_return_results_or_empty,200,200,200 -> 200,as_designed
